pos chr cM
913671 29 0
945880 29 0.287357112778398
1046554 29 0.574714225556796
2758299 29 0.835811424614382
3882783 29 0.836827241674083
3895452 29 1.09833373888878
4112154 29 1.10529873666123
4231629 29 1.37025595503935
4274470 29 1.37304155792651
4309694 29 1.755135838491
4352252 29 1.90059992469489
4405479 29 1.90406086832811
4781584 29 1.9283944595724
4876810 29 1.9344292787224
4932199 29 2.19241077792903
5227590 29 2.21113315880185
5652988 29 2.49268891282205
5731880 29 2.4976885350254
8003316 29 2.63967133021836
8083366 29 2.86046565404077
8096263 29 2.92398500969119
8198580 29 3.15290995001554
8383701 29 3.16446640455825
8595271 29 3.42836766626706
8667584 29 3.43288159525343
8776347 29 3.53118606689871
8965014 29 3.92178014004459
8992001 29 4.02944328914065
9055480 29 4.2091504205361
9548509 29 4.23993440925515
9669206 29 4.25043565331545
9700241 29 4.5037763025929
9762794 29 4.75987289200793
9915377 29 4.77314874624789
9955472 29 4.79376613904889
9985835 29 5.06157789427005
10240598 29 5.2052276478715
10268602 29 5.47170405914498
10337993 29 5.51078974161854
10500704 29 5.76601007084634
10587617 29 5.86496640911194
10597702 29 5.86633733778432
10619835 29 6.11998830051113
11028969 29 6.17563510418022
11100962 29 6.43609874782205
11312095 29 6.46480746562036
11369791 29 6.72331752659007
11442504 29 6.73320278432029
11456376 29 6.75104500117278
11524000 29 7.08914828491792
11659888 29 7.26420282750521
11827545 29 7.28699856729133
11954085 29 7.46438618358646
12025422 29 7.56210583549011
12040820 29 7.8143591431459
12849465 29 7.89940580395599
12946949 29 8.16032928637593
13063431 29 8.17257099514111
13139175 29 8.43119808580249
13574323 29 8.47694541192516
13611291 29 8.73147686343208
13674836 29 8.73815477165207
13691319 29 8.99052267052719
13749942 29 8.99668329667525
13804324 29 9.25305402636971
14328860 29 9.30820394188877
14393571 29 9.3921980178157
14459944 29 9.72941160560181
14538624 29 9.83155580224948
14899594 29 9.86950179826608
15261677 29 10.158383275878
15737650 29 10.2084247030385
16013090 29 10.4550209750632
16054911 29 10.6879691570352
16066691 29 10.744181619293
16873592 29 10.8290447047172
17150595 29 11.0577953210801
17221376 29 11.3670676848686
18108835 29 11.4604110988059
18148713 29 11.4662088592743
18201669 29 11.7245739271666
18245423 29 11.9815943048579
18727765 29 12.0517659270199
18763144 29 12.3075624956288
19137211 29 12.3619735823822
19190298 29 12.6203577935931
19720787 29 12.6975393008402
19892434 29 12.7182789737581
19971488 29 12.9785048899051
20042346 29 12.9870654402341
20071376 29 13.2412171723378
20194276 29 13.2521855109741
20202560 29 13.5035555555428
20246389 29 13.5074668443197
20286136 29 13.7616587594662
20338214 29 13.7663062211111
20366194 29 14.0734937456105
20468356 29 14.2792842348032
20503436 29 14.6062396608774
20588892 29 14.7914496925916
20794824 29 14.8098296707781
20852046 29 15.0655889619801
20960406 29 15.0752595376592
20992722 29 15.3287849628893
21013068 29 15.3306005966885
21055601 29 15.5850423917869
21314398 29 15.6081418017521
21401948 29 15.8666214030666
22388664 29 15.9547498638206
22417752 29 15.9693946278536
22531427 29 16.2775652733519
22992304 29 16.5101062400042
23054207 29 16.5156305370347
23064014 29 16.767137173584
23276835 29 16.7861321301327
23281728 29 16.8027871806132
23358578 29 17.3169644290869
23368858 29 17.3519624517391
23649223 29 17.5448251312768
23695359 29 17.6144647096949
23953427 29 17.8501329085779
24508601 29 17.899699116915
24650434 29 18.1630480733346
24821194 29 18.1782883785884
24865940 29 18.4329286614158
24936847 29 18.4392565369178
24977461 29 18.6935262142845
25569021 29 18.7463426989953
25614843 29 19.0010794903751
26517990 29 19.0817379688628
26584318 29 19.3383140192431
26657438 29 19.820775969515
26666065 29 19.8479364174354
26903121 29 19.8690948831607
26920362 29 20.1212682517791
27116458 29 20.1387701871642
27230802 29 20.3996532349261
27456976 29 20.4198402301539
27539629 29 20.4337458413683
27580582 29 20.4429342274951
27829957 29 20.6651503967463
27956651 29 20.9558875530111
28008653 29 21.0403772600324
28189825 29 21.0810385608664
28226481 29 21.3399311971341
28274335 29 21.3506680866983
28313871 29 21.6102101907798
28717574 29 21.7008604851023
28730134 29 21.9543195711982
28829679 29 21.9766568399178
