pos chr cM
2513263 22 0
2550238 22 0.256410818345973
8985403 22 0.504550285452424
9237548 22 0.752689752558874
11533770 22 1.00082921966532
11904699 22 1.24896868677178
12817705 22 1.49710815387823
12842004 22 1.74524762098468
13815336 22 1.80225978367802
13926472 22 2.06545383033206
14126188 22 2.09237679966657
14181678 22 2.4637888159164
14245590 22 2.60509365239662
14414948 22 2.62792323849448
14704493 22 2.91529420694969
14778182 22 2.9252262587096
14836378 22 3.18124844142698
14889907 22 3.1884630643962
14912860 22 3.43971139352675
15229190 22 3.4823613676735
15580213 22 3.73050083477995
16132985 22 3.9786403018864
16446094 22 4.22677976899285
17447295 22 4.4749192360993
17970657 22 4.9724357787577
21371886 22 5.019159900849
21386709 22 5.05129304841868
21412329 22 5.39057813088093
21465438 22 5.57876560764831
21567428 22 5.72074532738397
21981732 22 5.72921998625886
22123787 22 5.98027950689655
22174283 22 5.98131233431297
22450144 22 5.99784778576092
22476054 22 6.24754782354379
23759315 22 6.32451457467981
23791504 22 6.57459280672187
24460807 22 6.61472112641259
24610398 22 6.63381794664088
24636732 22 6.88533541241728
24880688 22 6.91648264229718
24975810 22 7.17682497817576
25378911 22 7.22830160458766
25457884 22 7.36168385554973
25537675 22 7.6014558676187
25646676 22 7.75852571146697
26090312 22 7.81518165438663
26115156 22 8.06650798404913
26372337 22 8.09934427836676
26727506 22 8.18374515737762
26780784 22 8.44459925849916
26805193 22 8.45039515442978
27230956 22 8.60184552089093
27376769 22 8.90205917876303
27717688 22 9.02329262374322
27742817 22 9.28040254255871
27975424 22 9.36308752977451
28124918 22 9.584765649923
28195564 22 9.72011808565121
28444241 22 9.91669450779227
29266216 22 10.5365576913621
29513949 22 10.6148280082616
29613999 22 10.8947203939514
30383483 22 11.1382378501862
30493898 22 11.4214209341469
30881004 22 11.5437795462119
31009734 22 11.5702920267607
31473520 22 11.6111951755807
31683215 22 11.8779163477981
31808773 22 11.8889865089991
31954065 22 12.1500000027494
32015097 22 12.4035469866611
33349902 22 12.5213593468398
33359839 22 12.6216837805842
33374660 22 12.876239459722
33394970 22 13.0213397620291
33830689 22 13.0593897407544
33928537 22 13.3136748037692
34051260 22 13.3243888909181
34098991 22 13.5742769450427
34189898 22 13.5822131792104
34319421 22 13.8392774439268
36427717 22 14.0236578530191
36466878 22 14.0726167856679
36485087 22 14.3411885233981
36638592 22 14.5333748441237
36843880 22 14.551298396278
37064825 22 14.6961220671627
37082565 22 14.9709802074046
37275975 22 15.2882219953193
37314788 22 15.3296849042649
37491483 22 15.345111636363
37522364 22 15.5935214446429
37828006 22 15.6202091732542
37845994 22 15.8674879117196
37912748 22 15.8733154520044
38031701 22 16.1294522753327
38458391 22 16.166713485833
38502656 22 16.4162974651648
38658420 22 16.4298965233348
38849559 22 16.692367490825
39647748 22 16.7620929203763
39689768 22 17.0114799451525
39724553 22 17.2602322463839
39780838 22 17.2651458112209
40051337 22 17.5345813498848
40104019 22 17.5905144596823
40141931 22 17.8766588437413
40303023 22 18.0478893837661
40580127 22 18.0720846581169
40592108 22 18.3188364266202
40623281 22 18.321557705803
40671298 22 18.5714708510058
41356378 22 18.6313097813806
41508082 22 18.8903203250569
41696762 22 18.9067936054149
41711741 22 19.1538083757121
42170399 22 19.1938623481936
42200667 22 19.4422183789767
42282469 22 19.4493596845623
42316505 22 19.698046276795
42346377 22 19.7006539808795
42403921 22 19.7468754330967
42527679 22 20.0925265039563
43031418 22 20.4986057359765
43065424 22 20.5015743321577
43290625 22 20.7670344351425
44139373 22 20.8411796989073
44228219 22 21.0946749440587
44616147 22 21.1285500699958
44721955 22 21.383533538227
45352852 22 21.438637196737
45367567 22 21.6856288073811
45400517 22 21.6885052160736
45461610 22 21.9395655458376
46143743 22 21.9991469144114
46261691 22 22.0958340219152
46478733 22 22.3273538807536
46777966 22 22.4269724814525
46795992 22 22.6786982353803
46809724 22 22.6832654562443
46933545 22 22.9703667938586
47250180 22 23.0757848606174
47279735 22 23.6322119126638
47298729 22 23.8307036147057
47313466 22 23.8356051118554
47334251 22 24.0882530985572
47453777 22 24.1280210727849
47461878 22 24.1406869402702
47554081 22 24.531448565253
47571946 22 24.5593846565669
47652928 22 24.8455050468693
47697012 22 24.9466624387941
47795893 22 24.9795592721855
47850614 22 25.2435522138834
48088278 22 25.3226574608635
48204690 22 25.6072805722632
48550088 22 25.7222857962755
48661795 22 26.0053352024663
48688176 22 26.0141098108989
48701064 22 26.2641181647119
48747165 22 26.5252291583639
48806394 22 26.7907293381174
49921657 22 27.1630280623192
50006780 22 27.437186713653
50085189 22 27.4632709169593
50418418 22 27.7254671222335
50523544 22 28.0541433825582
50627209 22 28.1355633852998
50771917 22 28.1837137990341
50824204 22 28.1954220328134
50835921 22 28.4437591578781
50920503 22 28.4627003374587
51127751 22 28.4873019869724
51145308 22 28.7350966494418
51300405 22 28.7535065052773
51349955 22 29.0051170142345
51699484 22 29.0466153295772
51715199 22 29.29419030319
51771538 22 29.3008769011727
51828862 22 29.4497805164788
51870566 22 29.5675385467451
